State_Name,City,"Round(AVG(Mean),1)","Round(AVG(Median),1)"
Minnesota,"Golden Valley",115037.5,205019.5
Colorado,Niwot,115029,106980
"New York","New Hyde Park",115018.7,165219
"New York","Cold Spring",115013,300000
"New Jersey","Cherry Hill",114968.6,153533.9
Massachusetts,"North Attleborough",114960.3,173795.7
Texas,Tuscola,114791,100607
Wisconsin,Wrightstown,114773,300000
Illinois,Deerfield,114716.3,206690.7
Illinois,"Arlington Heights",114682.8,145228.5
Georgia,Dunwoody,114678,300000
Michigan,Wixom,114675,114558
"New York","Sag Harbor",114565.7,100289.7
"New Jersey",Stanhope,114511,115956
"New York",Chatham,114504,300000
Washington,Kirkland,114496.9,147725.3
Maryland,Grasonville,114417,92376
Virginia,"Falls Church",114352.8,152513.6
Maryland,Kingsville,114299,205655.5
Nevada,Winnemucca,114277,300000
"New York","Putnam Valley",114228,86509
"New York",Walden,114145,300000
"New York",Babylon,113996,103774
Maryland,Finksburg,113985,108110
Ohio,Milford,113953.8,180203.4
Illinois,Libertyville,113919.5,91633.5
"New Jersey","Basking Ridge",113895,230682.7
Connecticut,Kensington,113875,300000
Maryland,Harwood,113870.5,96133.5
Virginia,Gainesville,113801.8,146729.2
"North Carolina",Apex,113786.5,208028
Maine,"Long Island",113773,86902
Massachusetts,Georgetown,113770,107616
"New Jersey",Bayville,113761.5,202322
Maryland,"Severna Park",113761,100761.3
Massachusetts,Norfolk,113690,89013
California,Eastvale,113676,103469
"New York",Lagrangeville,113613.5,202811
"New York",Harrison,113607,101808
California,Norco,113548.5,193414.5
"New York",Elmont,113529.8,188725.5
"New Jersey",Edison,113513.6,222226.9
"New York",Nyack,113495,99878
Pennsylvania,Holland,113458.3,94546.7
Virginia,Yorktown,113416.3,169872.7
Illinois,Algonquin,113415,104450.5
"New Jersey",Chester,113362,95750
Arizona,Globe,113347.5,281745.8
Tennessee,Apison,113344,104990
"New York","Highland Falls",113324,105073
Utah,Riverton,113290,300000
"New Jersey",Hampton,113227,92543
Connecticut,Higganum,113216,115269
"New York","East Norwich",113199,113516
Connecticut,"East Hampton",113137.5,105555.5
"New York",Brewster,113101,108763
California,"Simi Valley",112996.2,192258.4
California,"Mountain View",112980.7,134245
Colorado,"Highlands Ranch",112903.4,127180.2
Maryland,"Tall Timbers",112886,101617
"New York","N Massapequa",112844,101280.5
Massachusetts,Charlton,112818,125022
"New Jersey","North Haledon",112774,300000
"New Jersey","Haddon Heights",112693,300000
"New York",Ossining,112648.5,236006.8
Minnesota,Andover,112636.7,165349.3
Minnesota,"Eden Prairie",112547,142934.2
Colorado,Louisville,112526,171078.7
"New York",Delhi,112500,300000
Texas,Westlake,112500,300000
"New York",Latham,112476,300000
Nevada,"Zephyr Cove",112431.3,214319.3
California,Fremont,112430.5,134866.8
"New Jersey","Fair Lawn",112369,197763
Massachusetts,Sterling,112346.5,97858.5
Utah,Kaysville,112321,96642
California,"Westlake Village",112243.5,98005.5
Wisconsin,Cedarburg,112242,156563
"New York",Thiells,112235,113806
"New Jersey","Ocean City",112218,74310
"New York",Bohemia,112217,300000
Pennsylvania,Cheltenham,112205,98261.5
California,"Sherman Oaks",112072.5,103537.8
"New Jersey",Hazlet,112001.5,213846
"New Jersey",Clark,112001.3,173119.3
California,"Newbury Park",111982,99308.7
"New Jersey","E Brunswick",111970.8,103098
Utah,"South Jordan",111965,196972
Tennessee,"Spring Hill",111931,300000
Michigan,"Ann Arbor",111892.9,174064.8
Texas,Katy,111892,154698
California,Campbell,111889.1,155007.4
California,"San Clemente",111883.8,113834
Massachusetts,Holliston,111854.3,173074
Connecticut,Shelton,111811.8,101200.2
Indiana,Porter,111784,108388.5
Pennsylvania,Breinigsville,111698.5,300000
Michigan,"West Bloomfield",111656.9,175928.6
California,"Beverly Hills",111655.7,107378.7
Pennsylvania,"King Of Prussia",111619,99207
Wisconsin,"Cottage Grove",111608,300000
Massachusetts,Paxton,111571,88986
Colorado,Lyons,111546,96888
"New Jersey","East Windsor",111447,192823
Illinois,Minooka,111375,300000
"New York",Centereach,111347,197125.5
Maryland,"Upper Marlboro",111309.2,136337.8
California,"Half Moon Bay",111284.3,154765.3
Florida,"Marco Island",111281,97538
Maryland,Damascus,111275,103631
Mississippi,Madison,111266.7,164245.7
"New Jersey",Cranford,111265,174653.7
